TracePro Surface Property Data
File Name	/io/export.brdf.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at 01.01.2020 00:00:00

Name	export
Catalog	brdf_utils
Description
Coating    1
Scatter    5
Interaction    0
Polarization   0
User_Data  1
Solve	BRDF

Temperature	Wavelength	IncAngle	AziAngle	Abso_S	Abso_P	Refl_S	Refl_P	Tran_S	Tran_P	PhaseRefl	PhaseTran	BRDF_A	BRDF_B	BRDF_By	BRDF_g	BRDF_gy	BTDF_A	BTDF_B	BTDF_By	BTDF_g	BTDF_gy
300	0.55	45	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Table_BSDF_Data
Temperature	Wavelength	IncAngle	AziAngle	ScatterBeta	ScatterAzimuth	BRDF	BTDF
300	0.55	45	0	0.1589186	70	0.08127	0	
300	0.55	45	0	0.1589186	80	0.08127	0	
300	0.55	45	0	0.1589186	90	0.08127	0	
300	0.55	45	0	0.1589186	100	0.08127	0	
300	0.55	45	0	0.1589186	110	0.08127	0	
300	0.55	45	0	0.1589186	120	0.08127	0	
300	0.55	45	0	0.1589186	130	0.08127	0	
300	0.55	45	0	0.1589186	140	0.08127	0	
300	0.55	45	0	0.1589186	150	0.08127	0	
300	0.55	45	0	0.1589186	160	0.08127	0	
300	0.55	45	0	0.1589186	170	0.08127	0	
300	0.55	45	0	0.1589186	180	0.08127	0	
300	0.55	45	0	0.1589186	190	0.08127	0	
300	0.55	45	0	0.1589186	200	0.08127	0	
300	0.55	45	0	0.1589186	210	0.08127	0	
300	0.55	45	0	0.1589186	220	0.08127	0	
300	0.55	45	0	0.1589186	230	0.08127	0	
300	0.55	45	0	0.1589186	240	0.08127	0	
300	0.55	45	0	0.1589186	250	0.08127	0	
300	0.55	45	0	0.1589186	260	0.08127	0	
300	0.55	45	0	0.1589186	270	0.08127	0	
300	0.55	45	0	0.1589186	280	0.08127	0	
300	0.55	45	0	0.1589186	290	0.08127	0	
300	0.55	45	0	0.1589186	300	0.08127	0	
300	0.55	45	0	0.1589186	310	0.08127	0	
300	0.55	45	0	0.1589186	320	0.08127	0	
300	0.55	45	0	0.1589186	330	0.08127	0	
300	0.55	45	0	0.1589186	340	0.08127	0	
300	0.55	45	0	0.1589186	350	0.08127	0	
300	0.55	45	0	0.199201	0	0.081983	0	
300	0.55	45	0	0.199201	10	0.081983	0	
300	0.55	45	0	0.199201	20	0.081983	0	
300	0.55	45	0	0.199201	30	0.081983	0	
300	0.55	45	0	0.199201	40	0.081983	0	
300	0.55	45	0	0.199201	50	0.081983	0	
300	0.55	45	0	0.199201	60	0.081983	0	
300	0.55	45	0	0.199201	70	0.081983	0	
300	0.55	45	0	0.199201	80	0.081983	0	
300	0.55	45	0	0.199201	90	0.081983	0	
300	0.55	45	0	0.199201	100	0.081983	0	
300	0.55	45	0	0.199201	110	0.081983	0	
300	0.55	45	0	0.199201	120	0.081983	0	
300	0.55	45	0	0.199201	130	0.081983	0	
300	0.55	45	0	0.199201	140	0.081983	0	
